Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C311       SMD_0805_CAPC2012X145N     53.8751mm    136.1751mm     53.8751mm    136.1751mm     52.9751mm    136.1751mm  T        360.00 1uF/16V        
C310       SMD_0805_CAPC2012X145N     40.8999mm    124.4999mm     40.8999mm    124.4999mm     39.9999mm    124.4999mm  B        360.00 (OPT) 2.2nF    
C308       SMD_0805_CAPC2012X145N     54.6251mm    138.9864mm     54.6251mm    138.9864mm     54.6251mm    138.0864mm  T         90.00 10uF/16V       
C306       SMD_0805_CAPC2012X145N       95.25mm         114mm       95.25mm         114mm       95.25mm       114.9mm  T        270.00 22uF/6.3V      
C305       SMD_0805_CAPC2012X145N       45.25mm         114mm       45.25mm         114mm       45.25mm       114.9mm  T        270.00 22uF/6.3V      
C304       SMD_0805_CAPC2012X145N          87mm         114mm          87mm         114mm        87.9mm         114mm  T        180.00 22uF/6.3V      
C303       SMD_0805_CAPC2012X145N          87mm         116mm          87mm         116mm        87.9mm         116mm  T        180.00 22uF/6.3V      
C302       SMD_0805_CAPC2012X145N       82.15mm         116mm       82.15mm         116mm       81.25mm         116mm  T        360.00 22uF/6.3V      
C301       SMD_0805_CAPC2012X145N        57.5mm       106.5mm        57.5mm       106.5mm        56.6mm       106.5mm  T        360.00 22uF/6.3V      
C300       SMD_0805_CAPC2012X145N       51.25mm      110.35mm       51.25mm      110.35mm       51.25mm      109.45mm  T         90.00 22uF/6.3V      
C299       SMD_0805_CAPC2012X145N       45.25mm       110.5mm       45.25mm       110.5mm       45.25mm       109.6mm  T         90.00 22uF/6.3V      
C298       SMD_0805_CAPC2012X145N       77.25mm       109.5mm       77.25mm       109.5mm       78.15mm       109.5mm  T        180.00 22uF/6.3V      
C297       SMD_0805_CAPC2012X145N          87mm         118mm          87mm         118mm        87.9mm         118mm  T        180.00 22uF/6.3V      
C296       SMD_0805_CAPC2012X145N          91mm         125mm          91mm         125mm        90.1mm         125mm  T        360.00 22uF/6.3V      
C295       SMD_0805_CAPC2012X145N        62.5mm         130mm        62.5mm         130mm        61.6mm         130mm  T        360.00 22uF/6.3V      
C294       SMD_0805_CAPC2012X145N        62.5mm      116.75mm        62.5mm      116.75mm        61.6mm      116.75mm  T        360.00 22uF/6.3V      
C293       SMD_0805_CAPC2012X145N       85.65mm         122mm       85.65mm         122mm       86.55mm         122mm  T        180.00 22uF/6.3V      
C292       SMD_0805_CAPC2012X145N       54.75mm         131mm       54.75mm         131mm       54.75mm       130.1mm  T         90.00 22uF/6.3V      
C291       SMD_0805_CAPC2012X145N       52.75mm    130.9999mm       52.75mm    130.9999mm       52.75mm    130.0999mm  T         90.00 22uF/6.3V      
C290       SMD_0805_CAPC2012X145N        87.4mm         126mm        87.4mm         126mm        88.3mm         126mm  T        180.00 22uF/6.3V      
C289       SMD_0805_CAPC2012X145N        87.4mm         124mm        87.4mm         124mm        88.3mm         124mm  T        180.00 22uF/6.3V      
C288       SMD_0805_CAPC2012X145N       82.15mm         118mm       82.15mm         118mm       81.25mm         118mm  T        360.00 22uF/6.3V      
C287       SMD_0805_CAPC2012X145N        62.5mm      124.25mm        62.5mm      124.25mm        61.6mm      124.25mm  T        360.00 22uF/6.3V      
C286       SMD_0805_CAPC2012X145N        62.5mm      126.25mm        62.5mm      126.25mm        61.6mm      126.25mm  T        360.00 22uF/6.3V      
C285       SMD_0805_CAPC2012X145N        62.5mm      118.75mm        62.5mm      118.75mm        61.6mm      118.75mm  T        360.00 22uF/6.3V      
C284       SMD_0805_CAPC2012X145N       50.75mm         131mm       50.75mm         131mm       50.75mm       130.1mm  T         90.00 22uF/6.3V      
C283       SMD_0805_CAPC2012X145N       46.75mm         131mm       46.75mm         131mm       46.75mm       130.1mm  T         90.00 22uF/6.3V      
C280       SMD_0805_CAPC2012X145N       36.25mm      146.25mm       36.25mm      146.25mm       36.25mm      145.35mm  T         90.00 10uF/16V       
C279       SMD_0805_CAPC2012X145N        58.5mm         140mm        58.5mm         140mm        59.4mm         140mm  T        180.00 10uF/16V       
C278       SMD_0805_CAPC2012X145N          72mm       142.6mm          72mm       142.6mm          72mm       143.5mm  T        270.00 10uF/16V       
C277       SMD_0805_CAPC2012X145N          84mm       142.6mm          84mm       142.6mm          84mm       143.5mm  T        270.00 10uF/16V       
C276       SMD_0805_CAPC2012X145N          88mm       142.6mm          88mm       142.6mm          88mm       143.5mm  T        270.00 10uF/16V       
C275       SMD_0805_CAPC2012X145N          86mm       142.6mm          86mm       142.6mm          86mm       143.5mm  T        270.00 10uF/16V       
C274       SMD_0805_CAPC2012X145N        87.5mm       146.1mm        87.5mm       146.1mm        87.5mm       145.2mm  T         90.00 10uF/16V       
C273       SMD_0805_CAPC2012X145N       40.25mm      146.25mm       40.25mm      146.25mm       40.25mm      145.35mm  T         90.00 10uF/16V       
C270       SMD_0805_CAPC2012X145N        70.5mm       146.1mm        70.5mm       146.1mm        70.5mm       145.2mm  T         90.00 10uF/16V       
C269       SMD_0805_CAPC2012X145N        72.5mm       146.1mm        72.5mm       146.1mm        72.5mm       145.2mm  T         90.00 10uF/16V       
C268       SMD_0805_CAPC2012X145N          90mm       142.6mm          90mm       142.6mm          90mm       143.5mm  T        270.00 10uF/16V       
C267       SMD_0805_CAPC2012X145N          74mm       142.6mm          74mm       142.6mm          74mm       143.5mm  T        270.00 10uF/16V       
C266       SMD_0805_CAPC2012X145N        89.5mm       146.1mm        89.5mm       146.1mm        89.5mm       145.2mm  T         90.00 10uF/16V       
C265       SMD_0805_CAPC2012X145N        66.5mm       146.1mm        66.5mm       146.1mm        66.5mm       145.2mm  T         90.00 10uF/16V       
C264       SMD_0805_CAPC2012X145N        62.5mm      137.75mm        62.5mm      137.75mm        61.6mm      137.75mm  T        360.00 10uF/16V       
C263       SMD_0805_CAPC2012X145N       38.25mm      146.25mm       38.25mm      146.25mm       38.25mm      145.35mm  T         90.00 10uF/16V       
C190       SMD_0805_CAPC2012X145N          78mm       142.6mm          78mm       142.6mm          78mm       143.5mm  T        270.00 10uF/16V       
C191       SMD_0805_CAPC2012X145N          80mm       142.6mm          80mm       142.6mm          80mm       143.5mm  T        270.00 10uF/16V       
C192       SMD_0805_CAPC2012X145N          82mm       142.6mm          82mm       142.6mm          82mm       143.5mm  T        270.00 10uF/16V       
C193       SMD_0805_CAPC2012X145N        74.5mm       146.1mm        74.5mm       146.1mm        74.5mm       145.2mm  T         90.00 10uF/16V       
C194       SMD_0805_CAPC2012X145N          79mm       146.1mm          79mm       146.1mm          79mm       145.2mm  T         90.00 10uF/16V       
C195       SMD_0805_CAPC2012X145N        85.5mm       146.1mm        85.5mm       146.1mm        85.5mm       145.2mm  T         90.00 10uF/16V       
C196       SMD_0805_CAPC2012X145N       59.25mm      132.75mm       59.25mm      132.75mm       59.25mm      133.65mm  T        270.00 10uF/16V       
C197       SMD_0805_CAPC2012X145N        68.5mm       146.1mm        68.5mm       146.1mm        68.5mm       145.2mm  T         90.00 10uF/16V       
C199       SMD_0805_CAPC2012X145N       79.25mm       132.2mm       79.25mm       132.2mm       79.25mm       131.3mm  T         90.00 22uF/6.3V      
C200       SMD_0805_CAPC2012X145N       82.15mm         126mm       82.15mm         126mm       81.25mm         126mm  T        360.00 22uF/6.3V      
C201       SMD_0805_CAPC2012X145N       77.25mm       132.2mm       77.25mm       132.2mm       77.25mm       131.3mm  T         90.00 22uF/6.3V      
C202       SMD_0805_CAPC2012X145N        74.5mm      130.25mm        74.5mm      130.25mm        75.4mm      130.25mm  T        180.00 22uF/6.3V      
C203       SMD_0805_CAPC2012X145N        74.5mm      126.25mm        74.5mm      126.25mm        75.4mm      126.25mm  T        180.00 22uF/6.3V      
C204       SMD_0805_CAPC2012X145N       82.15mm         122mm       82.15mm         122mm       81.25mm         122mm  T        360.00 22uF/6.3V      
C205       SMD_0805_CAPC2012X145N       82.15mm         130mm       82.15mm         130mm       81.25mm         130mm  T        360.00 22uF/6.3V      
C206       SMD_0805_CAPC2012X145N       70.75mm     121.175mm       70.75mm     121.175mm       70.75mm     120.275mm  B         90.00 (OPT) 2.2nF    
C207       SMD_0805_CAPC2012X145N     75.9999mm    142.5999mm     75.9999mm    142.5999mm     75.9999mm    143.4999mm  T        270.00 10uF/16V       
C209       SMD_0805_CAPC2012X145N          90mm      129.25mm          90mm      129.25mm          90mm      130.15mm  T        270.00 1uF            
C211       SMD_0805_CAPC2012X145N       119.9mm      140.25mm       119.9mm      140.25mm         119mm      140.25mm  T        360.00 22uF/6.3V      
C213       SMD_0805_CAPC2012X145N        91.5mm       146.1mm        91.5mm       146.1mm        91.5mm       145.2mm  T         90.00 10uF/16V       
C214       SMD_0805_CAPC2012X145N        83.5mm       146.1mm        83.5mm       146.1mm        83.5mm       145.2mm  T         90.00 10uF/16V       
C215       SMD_0805_CAPC2012X145N        58.5mm         136mm        58.5mm         136mm        59.4mm         136mm  T        180.00 10uF/16V       
